event_id	cycle	source	x	y	polarity	occurrence_timestamp_ns	theta_idx
0	1170	48	105	84	0	1170993000	11
1	2218	143	116	91	0	2218590000	10
2	2224	143	116	91	0	2224001001	10
3	2228	131	116	90	0	2228616000	10
4	2228	143	116	91	0	2228354000	10
5	2230	142	115	91	0	2230071000	10
6	2231	143	116	91	0	2231489000	10
7	2236	131	116	90	0	2236653001	10
8	2237	143	116	91	0	2237199001	10
9	2242	119	116	89	0	2242358000	10
10	2243	131	116	90	0	2243390001	10
11	2247	142	115	91	0	2247459000	10
12	2273	131	116	90	0	2273459000	10
13	2277	142	115	91	0	2277215001	10
14	2278	143	116	91	0	2278921001	10
15	2281	131	116	90	0	2281506000	10
16	2284	142	115	91	0	2284530000	10
17	2287	119	116	89	0	2287824001	10
18	2315	131	116	90	1	2315787000	10
19	2315	142	115	91	1	2315883000	10
20	2319	143	116	91	1	2319127001	10
21	2322	131	116	90	1	2322447001	10
22	2326	143	116	91	1	2326083001	10
23	2330	143	116	91	1	2330998001	10
24	2338	119	116	89	1	2338994000	10
25	2338	143	116	91	1	2338316000	10
26	2345	131	116	90	1	2345436000	10
27	3034	37	106	83	0	3034966001	10
28	3056	55	112	84	0	3056529001	11
29	3075	17	110	81	0	3075414001	12
30	3088	33	114	82	0	3088701001	12
31	3090	59	116	84	0	3090611000	12
32	3091	7	112	80	0	3091923001	12
33	3350	55	112	84	0	3350847001	12
34	3382	76	109	86	0	3382886000	11
35	3399	60	105	85	0	3399404001	11
36	3399	61	106	85	0	3399738000	11
37	4069	7	112	80	0	4069919000	5
38	4070	11	116	80	0	4070995000	5
39	4076	17	110	81	0	4076407000	5
40	4076	21	114	81	0	4076446001	5
41	4076	22	115	81	0	4076870000	5
42	4091	55	112	84	0	4091502001	5
43	4091	59	116	84	0	4091530000	5
44	4101	79	112	86	0	4101324001	5
45	4101	83	116	86	1	4101962000	5
46	4106	91	112	87	0	4106671000	6
47	4106	95	116	87	0	4106976000	6
48	4110	100	109	88	0	4110570000	6
49	4110	105	114	88	0	4110991001	6
50	4110	106	115	88	0	4110892000	6
51	4116	3	108	80	0	4116821001	6
52	4120	3	108	80	0	4120055001	6
53	4120	4	109	80	0	4120443001	6
54	4121	15	108	81	0	4121961000	6
55	4121	123	108	90	0	4121701001	6
56	4121	126	111	90	0	4121865000	6
57	4121	131	116	90	0	4121607001	6
58	4122	5	110	80	0	4122879001	6
59	4123	4	109	80	0	4123607000	6
60	4125	5	110	80	0	4125588001	6
61	4125	16	109	81	0	4125232001	6
62	4125	133	106	91	1	4125548001	6
63	4126	3	108	80	1	4126142001	6
64	4126	6	111	80	0	4126983000	6
65	4126	27	108	82	0	4126757001	6
66	4127	142	115	91	0	4127067000	6
67	4127	143	116	91	0	4127144001	6
68	4128	5	110	80	0	4128857000	6
69	4128	16	109	81	0	4128299001	6
70	4128	17	110	81	0	4128611000	6
71	4129	7	112	80	0	4129744000	6
72	4129	28	109	82	0	4129283001	6
73	4130	4	109	80	0	4130021000	6
74	4130	6	111	80	0	4130295000	6
75	4130	18	111	81	0	4130762001	7
76	4131	17	110	81	0	4131311000	7
77	4132	7	112	80	0	4132063000	7
78	4132	28	109	82	0	4132032000	7
79	4132	29	110	82	0	4132985001	7
80	4132	39	108	83	0	4132252001	7
81	4133	5	110	80	0	4133552001	7
82	4133	8	113	80	0	4133184000	7
83	4133	18	111	81	0	4133462001	7
84	4134	4	109	80	1	4134725000	7
85	4134	6	111	80	0	4134107000	7
86	4134	15	108	81	1	4134253001	7
87	4134	19	112	81	0	4134253001	7
88	4134	40	109	83	0	4134497000	7
89	4135	7	112	80	0	4135600000	7
