event_id	cycle	source	x	y	polarity	occurrence_timestamp_ns	theta_idx
0	3056	3	112	84	0	3056529001	11
1	3350	3	112	84	0	3350847001	12
2	3382	12	109	86	0	3382886000	11
3	4091	3	112	84	0	4091502001	5
4	4101	15	112	86	0	4101324001	5
5	4106	21	112	87	0	4106671000	6
6	4110	24	109	88	0	4110570000	6
7	4110	29	114	88	0	4110991001	6
8	4139	0	109	84	0	4139117000	7
9	4141	1	110	84	0	4141665000	7
10	4143	0	109	84	0	4143253001	7
11	4144	1	110	84	0	4144189001	7
12	4144	2	111	84	0	4144696000	7
13	4144	6	109	85	0	4144125000	7
14	4146	7	110	85	0	4146523001	7
15	4147	1	110	84	0	4147501001	7
16	4147	2	111	84	0	4147185000	7
17	4147	12	109	86	0	4147559001	7
18	4148	3	112	84	0	4148074001	7
19	4148	6	109	85	0	4148702000	7
20	4148	7	110	85	0	4148676001	7
21	4149	8	111	85	0	4149701000	7
22	4150	3	112	84	0	4150735001	7
23	4150	4	113	84	0	4150932001	7
24	4150	12	109	86	0	4150233000	7
25	4150	13	110	86	0	4150743001	7
26	4151	0	109	84	1	4151164001	7
27	4151	2	111	84	0	4151782001	7
28	4151	7	110	85	0	4151889001	7
29	4151	9	112	85	0	4151871000	7
30	4152	8	111	85	0	4152698001	7
31	4152	18	109	87	0	4152895001	7
32	4153	3	112	84	0	4153700001	7
33	4153	4	113	84	0	4153496001	7
34	4153	5	114	84	0	4153686001	7
35	4153	13	110	86	0	4153745001	7
36	4153	14	111	86	0	4153643000	7
37	4154	9	112	85	0	4154333001	7
38	4155	6	109	85	1	4155189000	7
39	4155	10	113	85	0	4155607000	7
40	4155	19	110	87	0	4155358000	7
41	4156	2	111	84	0	4156417001	7
42	4156	5	114	84	1	4156403001	7
43	4156	14	111	86	0	4156661000	7
44	4156	18	109	87	0	4156549001	7
45	4156	24	109	88	0	4156923000	7
46	4157	1	110	84	1	4157755001	7
47	4157	4	113	84	0	4157759000	7
48	4157	8	111	85	0	4157102001	7
49	4157	9	112	85	0	4157439000	7
50	4157	11	114	85	0	4157826000	7
51	4157	13	110	86	0	4157355000	7
52	4157	15	112	86	0	4157252000	7
53	4158	3	112	84	0	4158439001	7
54	4158	10	113	85	0	4158601001	7
55	4158	19	110	87	0	4158973000	7
56	4158	20	111	87	0	4158405001	7
57	4159	12	109	86	1	4159004000	7
58	4159	14	111	86	0	4159752001	7
