event_id	cycle	source	x	y	polarity	occurrence_timestamp_ns	theta_idx
0	4101	6	112	86	0	4101324001	5
1	4106	10	112	87	0	4106671000	6
2	4146	0	110	85	0	4146523001	7
3	4148	0	110	85	0	4148676001	7
4	4149	1	111	85	0	4149701000	7
5	4150	4	110	86	0	4150743001	7
6	4151	0	110	85	0	4151889001	7
7	4151	2	112	85	0	4151871000	7
8	4152	1	111	85	0	4152698001	7
9	4153	4	110	86	0	4153745001	7
10	4153	5	111	86	0	4153643000	7
11	4154	2	112	85	0	4154333001	7
12	4155	3	113	85	0	4155607000	7
13	4155	8	110	87	0	4155358000	7
14	4156	5	111	86	0	4156661000	7
15	4157	1	111	85	0	4157102001	7
16	4157	2	112	85	0	4157439000	7
17	4157	4	110	86	0	4157355000	7
18	4157	6	112	86	0	4157252000	7
19	4158	3	113	85	0	4158601001	7
20	4158	8	110	87	0	4158973000	7
21	4158	9	111	87	0	4158405001	7
22	4159	5	111	86	0	4159752001	7
23	4159	7	113	86	0	4159407001	7
24	4159	12	110	88	0	4159808001	7
25	4160	6	112	86	0	4160609001	7
26	4161	0	110	85	1	4161843001	8
27	4161	9	111	87	0	4161957001	8
28	4161	10	112	87	0	4161466001	8
29	4162	2	112	85	0	4162116001	8
30	4162	7	113	86	0	4162128000	8
31	4162	13	111	88	0	4162382001	8
32	4163	3	113	85	0	4163077001	8
33	4163	11	113	87	0	4163482001	8
34	4163	12	110	88	0	4163033000	8
35	4164	6	112	86	0	4164518001	8
36	4164	10	112	87	0	4164052001	8
37	4164	13	111	88	0	4164646001	8
38	4165	0	110	85	1	4165244001	8
39	4165	4	110	86	1	4165312000	8
40	4165	5	111	86	0	4165600001	8
41	4165	7	113	86	0	4165920000	8
42	4165	9	111	87	0	4165574000	8
43	4165	14	112	88	0	4165087000	8
44	4166	11	113	87	0	4166169000	8
45	4166	13	111	88	0	4166875001	8
46	4167	10	112	87	0	4167139000	8
47	4167	14	112	88	0	4167268000	8
48	4168	4	110	86	1	4168947000	8
49	4168	15	113	88	0	4168166000	8
50	4170	7	113	86	0	4170878001	8
51	4170	8	110	87	1	4170763001	8
52	4170	10	112	87	0	4170644000	8
53	4170	11	113	87	0	4170240000	8
54	4170	14	112	88	0	4170417001	8
55	4170	15	113	88	0	4170897000	8
56	4171	1	111	85	1	4171514001	8
57	4171	6	112	86	0	4171405000	8
58	4171	13	111	88	0	4171429000	8
59	4172	5	111	86	1	4172808000	8
60	4174	11	113	87	0	4174029001	8
61	4174	14	112	88	0	4174100000	8
62	4175	1	111	85	1	4175405001	8
63	4175	8	110	87	1	4175993001	8
64	4175	12	110	88	1	4175030000	8
65	4175	15	113	88	0	4175124000	8
66	4177	5	111	86	1	4177241000	8
67	4178	4	110	86	1	4178038001	8
68	4178	15	113	88	0	4178857001	8
69	4179	2	112	85	1	4179833001	8
70	4179	12	110	88	1	4179014000	8
71	4180	9	111	87	1	4180413001	8
72	4182	5	111	86	1	4182120001	8
73	4182	6	112	86	1	4182689000	8
74	4182	13	111	88	1	4182767001	8
75	4183	0	110	85	1	4183851001	8
76	4183	1	111	85	1	4183323001	8
77	4184	2	112	85	1	4184539001	8
78	4184	9	111	87	1	4184965001	8
79	4187	6	112	86	1	4187728000	9
80	4187	13	111	88	1	4187114001	9
81	4188	2	112	85	1	4188682000	9
82	4188	10	112	87	1	4188492000	9
83	4190	13	111	88	1	4190760001	9
84	4191	6	112	86	1	4191499000	9
85	4193	10	112	87	1	4193918000	9
86	4193	14	112	88	1	4193396000	9
87	4195	2	112	85	0	4195247001	9
88	4197	2	112	85	0	4197997001	9
89	4199	1	111	85	0	4199339001	9
90	4199	14	112	88	1	4199067000	9
91	4200	10	112	87	1	4200137001	9
92	4202	0	110	85	0	4202193001	9
93	4202	2	112	85	0	4202480001	9
94	4202	6	112	86	0	4202209000	9
95	4203	1	111	85	0	4203245000	9
96	4203	14	112	88	1	4203933000	9
97	4204	0	110	85	0	4204695001	9
98	4205	2	112	85	0	4205964001	9
99	4205	5	111	86	0	4205501001	9
100	4206	6	112	86	0	4206973001	9
101	4206	10	112	87	0	4206115001	9
102	4208	0	110	85	0	4208411001	9
103	4208	1	111	85	0	4208843001	9
104	4208	4	110	86	0	4208128001	9
105	4208	5	111	86	0	4208842001	9
106	4208	10	112	87	0	4208711001	9
107	4208	15	113	88	1	4208566001	9
108	4211	2	112	85	0	4211800000	9
109	4211	4	110	86	0	4211436000	9
110	4211	5	111	86	0	4211959000	9
111	4211	9	111	87	0	4211729001	9
112	4212	6	112	86	0	4212242000	9
113	4212	10	112	87	0	4212505000	9
114	4212	14	112	88	0	4212738001	9
115	4213	0	110	85	0	4213595001	9
116	4214	9	111	87	0	4214748000	9
117	4215	4	110	86	0	4215704000	9
118	4215	8	110	87	0	4215007000	9
119	4215	14	112	88	0	4215401000	9
120	4216	10	112	87	0	4216879000	9
121	4216	13	111	88	0	4216895001	9
122	4216	15	113	88	0	4216794000	9
123	4218	8	110	87	0	4218259000	9
124	4219	9	111	87	0	4219453001	9
125	4220	4	110	86	0	4220494000	9
126	4220	12	110	88	0	4220840000	9
127	4220	14	112	88	0	4220328001	9
128	4221	5	111	86	0	4221223001	9
