event_id	cycle	source	x	y	polarity	occurrence_timestamp_ns	theta_idx
0	1150	80	104	84	0	1150453000	10
1	1170	81	105	84	0	1170993000	11
2	2174	255	119	94	0	2174022001	9
3	2178	255	119	94	0	2178314000	9
4	2179	239	119	93	0	2179814001	9
5	2181	255	119	94	0	2181516001	9
6	2182	254	118	94	0	2182109001	10
7	2183	238	118	93	0	2183876001	10
8	2183	239	119	93	0	2183298001	10
9	2184	223	119	92	0	2184491001	10
10	2184	255	119	94	0	2184513000	10
11	2186	254	118	94	0	2186649000	10
12	2187	239	119	93	0	2187226000	10
13	2188	223	119	92	0	2188684001	10
14	2188	255	119	94	0	2188279001	10
15	2189	254	118	94	0	2189805000	10
16	2190	207	119	91	0	2190019000	10
17	2190	238	118	93	0	2190637000	10
18	2190	253	117	94	0	2190254000	10
19	2191	223	119	92	0	2191562001	10
20	2192	239	119	93	0	2192586000	9
21	2193	238	118	93	0	2193675000	9
22	2194	207	119	91	0	2194730000	9
23	2194	222	118	92	0	2194028000	9
24	2194	254	118	94	0	2194472001	9
25	2195	191	119	90	0	2195559000	9
26	2195	223	119	92	0	2195611000	9
27	2195	253	117	94	0	2195390000	9
28	2195	255	119	94	0	2195972001	9
29	2196	238	118	93	0	2196677001	9
30	2198	207	119	91	0	2198158000	9
31	2198	222	118	92	0	2198651001	9
32	2198	237	117	93	0	2198073001	9
33	2198	253	117	94	0	2198990001	9
34	2199	191	119	90	0	2199636001	9
35	2199	206	118	91	0	2199083001	9
36	2199	223	119	92	0	2199871001	9
37	2199	238	118	93	0	2199704001	9
38	2199	239	119	93	0	2199149001	9
39	2200	252	116	94	0	2200557000	9
40	2200	254	118	94	0	2200031000	9
41	2201	175	119	89	0	2201994000	9
42	2201	237	117	93	0	2201883000	9
43	2202	207	119	91	0	2202171000	9
44	2202	222	118	92	0	2202320000	9
45	2202	238	118	93	0	2202574001	9
46	2203	191	119	90	0	2203483001	9
47	2203	206	118	91	0	2203918001	9
48	2203	221	117	92	0	2203639000	9
49	2203	253	117	94	0	2203219001	9
50	2205	190	118	90	0	2205279001	9
51	2205	237	117	93	0	2205918001	9
52	2205	252	116	94	0	2205863001	9
53	2206	207	119	91	0	2206467000	9
54	2206	222	118	92	0	2206826000	9
55	2206	236	116	93	0	2206123001	9
56	2206	238	118	93	0	2206177000	9
57	2207	175	119	89	0	2207048000	9
58	2207	206	118	91	0	2207345000	10
59	2208	159	119	88	0	2208316000	10
60	2208	191	119	90	0	2208009001	10
61	2208	221	117	92	0	2208031001	10
62	2208	223	119	92	0	2208977001	10
63	2209	252	116	94	0	2209012001	10
64	2209	253	117	94	0	2209525000	10
65	2210	190	118	90	0	2210621000	10
66	2210	205	117	91	0	2210915000	10
67	2210	251	115	94	0	2210740001	10
68	2211	175	119	89	0	2211865000	10
69	2211	220	116	92	0	2211122000	10
70	2211	221	117	92	0	2211761000	10
71	2211	222	118	92	0	2211920000	10
72	2211	236	116	93	0	2211062001	10
73	2211	237	117	93	0	2211613000	10
74	2212	143	119	87	0	2212845001	10
75	2212	174	118	89	0	2212961000	10
76	2212	206	118	91	0	2212621000	10
77	2213	159	119	88	0	2213150000	10
78	2213	191	119	90	0	2213576000	10
79	2213	252	116	94	0	2213830001	10
80	2214	205	117	91	0	2214872000	10
81	2214	236	116	93	0	2214073000	10
82	2215	190	118	90	0	2215441001	10
83	2215	251	115	94	0	2215978000	10
84	2216	159	119	88	0	2216835000	10
85	2216	175	119	89	0	2216752000	10
86	2216	189	117	90	0	2216527000	10
87	2216	206	118	91	0	2216314001	10
88	2217	220	116	92	0	2217508000	10
89	2217	221	117	92	0	2217149000	10
90	2217	235	115	93	0	2217895000	10
91	2217	236	116	93	0	2217751000	10
92	2218	143	119	87	0	2218275001	10
93	2218	158	118	88	0	2218451001	10
94	2218	174	118	89	0	2218265000	10
95	2218	204	116	91	0	2218590000	10
96	2219	205	117	91	0	2219254000	10
97	2219	251	115	94	0	2219314001	10
98	2220	127	119	86	0	2220753001	10
99	2220	143	119	87	0	2220957001	10
100	2220	190	118	90	0	2220301000	10
101	2220	250	114	94	0	2220884001	10
102	2221	159	119	88	0	2221148000	10
103	2221	189	117	90	0	2221236001	10
104	2221	220	116	92	0	2221115001	10
105	2221	252	116	94	0	2221491000	10
106	2222	174	118	89	0	2222375000	10
107	2222	221	117	92	0	2222400001	10
108	2223	173	117	89	0	2223759001	10
109	2223	219	115	92	0	2223993000	10
110	2223	235	115	93	0	2223550000	10
111	2223	237	117	93	0	2223015000	10
112	2224	143	119	87	0	2224572001	10
113	2224	158	118	88	0	2224683000	10
114	2224	204	116	91	0	2224001001	10
115	2224	220	116	92	0	2224888000	10
116	2224	251	115	94	1	2224345000	10
117	2225	142	118	87	0	2225749001	10
118	2225	189	117	90	0	2225082001	10
119	2225	205	117	91	0	2225449001	10
120	2225	236	116	93	0	2225314001	10
121	2226	159	119	88	0	2226403001	10
122	2226	190	118	90	0	2226234001	10
123	2227	127	119	86	0	2227123000	10
124	2227	175	119	89	0	2227039001	10
