event_id	cycle	source	x	y	polarity	occurrence_timestamp_ns
0	3056	3	112	84	0	3056529001
1	3350	3	112	84	0	3350847001
2	3382	12	109	86	0	3382886000
3	4091	3	112	84	0	4091502001
4	4101	15	112	86	0	4101324001
5	4106	21	112	87	0	4106671000
6	4110	24	109	88	0	4110570000
7	4110	29	114	88	0	4110991001
8	4139	0	109	84	0	4139117000
9	4141	1	110	84	0	4141665000
10	4143	0	109	84	0	4143253001
11	4144	1	110	84	0	4144189001
12	4144	2	111	84	0	4144696000
13	4144	6	109	85	0	4144125000
14	4146	7	110	85	0	4146523001
15	4147	1	110	84	0	4147501001
16	4147	2	111	84	0	4147185000
17	4147	12	109	86	0	4147559001
18	4148	3	112	84	0	4148074001
19	4148	6	109	85	0	4148702000
20	4148	7	110	85	0	4148676001
21	4149	8	111	85	0	4149701000
22	4150	3	112	84	0	4150735001
23	4150	4	113	84	0	4150932001
24	4150	12	109	86	0	4150233000
25	4150	13	110	86	0	4150743001
26	4151	0	109	84	1	4151164001
27	4151	2	111	84	0	4151782001
28	4151	7	110	85	0	4151889001
29	4151	9	112	85	0	4151871000
30	4152	8	111	85	0	4152698001
31	4152	18	109	87	0	4152895001
32	4153	3	112	84	0	4153700001
33	4153	4	113	84	0	4153496001
34	4153	5	114	84	0	4153686001
35	4153	13	110	86	0	4153745001
36	4153	14	111	86	0	4153643000
37	4154	9	112	85	0	4154333001
38	4155	6	109	85	1	4155189000
39	4155	10	113	85	0	4155607000
40	4155	19	110	87	0	4155358000
41	4156	2	111	84	0	4156417001
42	4156	5	114	84	1	4156403001
43	4156	14	111	86	0	4156661000
44	4156	18	109	87	0	4156549001
45	4156	24	109	88	0	4156923000
46	4157	1	110	84	1	4157755001
47	4157	4	113	84	0	4157759000
48	4157	8	111	85	0	4157102001
49	4157	9	112	85	0	4157439000
50	4157	11	114	85	0	4157826000
51	4157	13	110	86	0	4157355000
52	4157	15	112	86	0	4157252000
53	4158	3	112	84	0	4158439001
54	4158	10	113	85	0	4158601001
55	4158	19	110	87	0	4158973000
56	4158	20	111	87	0	4158405001
57	4159	12	109	86	1	4159004000
58	4159	14	111	86	0	4159752001
59	4159	16	113	86	0	4159407001
60	4159	25	110	88	0	4159808001
61	4160	1	110	84	1	4160939000
62	4160	5	114	84	0	4160474001
63	4160	11	114	85	0	4160617001
64	4160	15	112	86	0	4160609001
65	4160	24	109	88	0	4160133001
66	4161	7	110	85	1	4161843001
67	4161	20	111	87	0	4161957001
68	4161	21	112	87	0	4161466001
69	4161	30	109	89	0	4161522001
70	4162	4	113	84	0	4162968000
71	4162	9	112	85	0	4162116001
72	4162	16	113	86	0	4162128000
73	4162	17	114	86	0	4162622000
74	4162	26	111	88	0	4162382001
75	4163	10	113	85	0	4163077001
76	4163	18	109	87	1	4163829000
77	4163	22	113	87	0	4163482001
78	4163	25	110	88	0	4163033000
79	4164	11	114	85	0	4164554000
80	4164	15	112	86	0	4164518001
81	4164	21	112	87	0	4164052001
82	4164	26	111	88	0	4164646001
83	4164	31	110	89	0	4164135001
84	4165	5	114	84	0	4165488000
85	4165	7	110	85	1	4165244001
86	4165	13	110	86	1	4165312000
87	4165	14	111	86	0	4165600001
88	4165	16	113	86	0	4165920000
89	4165	17	114	86	0	4165591000
90	4165	20	111	87	0	4165574000
91	4165	27	112	88	0	4165087000
92	4166	2	111	84	1	4166889001
93	4166	6	109	85	1	4166027000
94	4166	22	113	87	0	4166169000
95	4166	23	114	87	0	4166992001
96	4166	24	109	88	1	4166944001
97	4166	26	111	88	0	4166875001
98	4166	30	109	89	0	4166660000
99	4166	31	110	89	0	4166554001
100	4167	21	112	87	0	4167139000
101	4167	27	112	88	0	4167268000
102	4167	32	111	89	0	4167079001
103	4168	0	109	84	1	4168331001
104	4168	11	114	85	0	4168304000
105	4168	13	110	86	1	4168947000
106	4168	28	113	88	0	4168166000
107	4169	23	114	87	0	4169759000
108	4170	2	111	84	1	4170984001
109	4170	16	113	86	0	4170878001
110	4170	17	114	86	0	4170728001
111	4170	19	110	87	1	4170763001
112	4170	21	112	87	0	4170644000
113	4170	22	113	87	0	4170240000
114	4170	27	112	88	0	4170417001
115	4170	28	113	88	0	4170897000
116	4170	32	111	89	0	4170285000
117	4170	33	112	89	0	4170262001
118	4171	1	110	84	1	4171994001
119	4171	8	111	85	1	4171514001
120	4171	15	112	86	0	4171405000
121	4171	26	111	88	0	4171429000
122	4171	29	114	88	0	4171658001
123	4172	14	111	86	1	4172808000
124	4172	30	109	89	1	4172230000
125	4172	34	113	89	0	4172665001
126	4173	33	112	89	0	4173063000
127	4174	3	112	84	1	4174637001
128	4174	12	109	86	1	4174752001
129	4174	22	113	87	0	4174029001
130	4174	23	114	87	0	4174348001
131	4174	27	112	88	0	4174100000
132	4174	29	114	88	0	4174268001
133	4175	8	111	85	1	4175405001
134	4175	17	114	86	0	4175804000
135	4175	19	110	87	1	4175993001
136	4175	25	110	88	1	4175030000
137	4175	28	113	88	0	4175124000
138	4175	32	111	89	0	4175233000
139	4175	34	113	89	0	4175174001
140	4175	35	114	89	0	4175430000
141	4177	14	111	86	1	4177241000
142	4177	29	114	88	0	4177840000
143	4177	33	112	89	0	4177521000
144	4177	35	114	89	0	4177867000
145	4178	13	110	86	1	4178038001
146	4178	28	113	88	0	4178857001
147	4178	34	113	89	0	4178488001
148	4179	2	111	84	1	4179245001
149	4179	9	112	85	1	4179833001
150	4179	25	110	88	1	4179014000
151	4179	31	110	89	1	4179101000
152	4180	3	112	84	1	4180010000
153	4180	20	111	87	1	4180413001
154	4181	29	114	88	0	4181473001
155	4181	35	114	89	0	4181540001
156	4182	14	111	86	1	4182120001
157	4182	15	112	86	1	4182689000
158	4182	26	111	88	1	4182767001
159	4182	33	112	89	0	4182514001
